_id,precio_unitario,cantidad,total_venta,descuento_pct,categoria,metodo_pago,fecha_venta,direccion_envio,comentario_cliente,nombre_producto
69d05657eadd846fd99700ed,2563.02,6,14916.78,0.03,Libros,Transferencia,2026-11-24,"{""calle"": ""Cerrada Tamaulipas 305 211"", ""ciudad"": ""Nueva Letonia"", ""estado"": ""San Luis Potosí"", ""cp"": ""00525""}",No cumplió del todo mis expectativas pero sirve para lo básico.,Marketing Digital 2024
69d05657eadd846fd99700ee,2911.93,2,4659.09,0.2,Alimentos,Efectivo,2026-02-27,"{""calle"": ""Corredor Eslovenia 553 Interior 688"", ""ciudad"": ""Nueva Andorra"", ""estado"": ""Guerrero"", ""cp"": ""99171-3572""}","Increíble producto, superó todas mis expectativas.",Suplemento vitamínico
69d05657eadd846fd99700ef,282.55,15,2882.01,0.32,Deportes,Transferencia,2026-01-13,"{""calle"": ""Viaducto Carreón 109 Edif. 170 , Depto. 479"", ""ciudad"": ""San Elvia de la Montaña"", ""estado"": ""Hidalgo"", ""cp"": ""58378-1351""}","Muy buena relación calidad-precio, lo recomiendo ampliamente.",Bicicleta estática
69d05657eadd846fd99700f0,982.38,16,11002.66,0.3,Libros,Tarjeta de crédito,2026-05-21,"{""calle"": ""Peatonal Norte Roybal 332 Edif. 861 , Depto. 735"", ""ciudad"": ""Vieja Bolivia"", ""estado"": ""Colima"", ""cp"": ""73187""}","Muy buena relación calidad-precio, lo recomiendo ampliamente.",Novela bestseller año
69d05657eadd846fd99700f1,155.7,18,2802.6,0,Belleza,Tarjeta de crédito,2026-05-06,"{""calle"": ""Ampliación Rosales 564 Interior 255"", ""ciudad"": ""Nueva Chad"", ""estado"": ""Puebla"", ""cp"": ""73780""}","Producto auténtico y de calidad, envío rápido y seguro.",Kit maquillaje profesional
69d05657eadd846fd99700f2,1981.06,15,18423.86,0.38,Deportes,PayPal,2026-04-25,"{""calle"": ""Eje vial Veracruz de Ignacio de la Llave 002 Interior 766"", ""ciudad"": ""San Alejandra los bajos"", ""estado"": ""Nuevo León"", ""cp"": ""58088""}","Excelente producto, llegó antes de lo esperado y en perfectas condiciones.",Mancuernas ajustables
69d05657eadd846fd99700f3,1029.32,20,15645.66,0.24,Libros,PayPal,2026-03-13,"{""calle"": ""Periférico Gollum 028 Interior 710"", ""ciudad"": ""San Cynthia los bajos"", ""estado"": ""San Luis Potosí"", ""cp"": ""28066-3388""}",Buen precio pero la calidad podría mejorar.,Python para Ciencia de Datos
69d05657eadd846fd99700f4,2289.99,8,18319.92,0,Ropa,PayPal,2026-02-22,"{""calle"": ""Privada Mozambique 786 Edif. 148 , Depto. 307"", ""ciudad"": ""San Bruno de la Montaña"", ""estado"": ""Oaxaca"", ""cp"": ""99735""}",El artículo es de buena calidad aunque el envío tardó un poco.,Vestido casual verano
69d05657eadd846fd99700f5,185.05,6,888.24,0.2,Ropa,Transferencia,2026-12-13,"{""calle"": ""Avenida Flórez 262 Edif. 475 , Depto. 335"", ""ciudad"": ""Vieja República Árabe Siria"", ""estado"": ""Tabasco"", ""cp"": ""82477""}","Muy buena relación calidad-precio, lo recomiendo ampliamente.",Vestido casual verano
69d05657eadd846fd99700f6,603.25,13,7136.45,0.09,Deportes,Tarjeta de débito,2026-10-07,"{""calle"": ""Circuito Campeche 206 Interior 741"", ""ciudad"": ""San Pascual de la Montaña"", ""estado"": ""Baja California"", ""cp"": ""43398""}",No cumplió del todo mis expectativas pero sirve para lo básico.,Tenis running profesional
69d05657eadd846fd99700f7,187.18,19,3378.6,0.05,Belleza,Transferencia,2026-02-14,"{""calle"": ""Circunvalación Afganistán 201 Edif. 926 , Depto. 231"", ""ciudad"": ""San Débora los altos"", ""estado"": ""Yucatán"", ""cp"": ""50215-3068""}",Buen precio pero la calidad podría mejorar.,Perfume floral 100ml
69d05657eadd846fd99700f8,62.8,2,97.97,0.22,Libros,Transferencia,2026-10-30,"{""calle"": ""Circunvalación Farías 038 Edif. 763 , Depto. 206"", ""ciudad"": ""San José los altos"", ""estado"": ""Yucatán"", ""cp"": ""91037""}","Producto auténtico y de calidad, envío rápido y seguro.",Novela bestseller año
69d05657eadd846fd99700f9,2090.86,6,8907.06,0.29,Hogar,Tarjeta de débito,2026-08-05,"{""calle"": ""Calzada Somalia 338 355"", ""ciudad"": ""Nueva Guinea"", ""estado"": ""Tabasco"", ""cp"": ""12287""}","Muy buena relación calidad-precio, lo recomiendo ampliamente.",Set de sábanas 400 hilos
69d05657eadd846fd99700fa,1537.12,13,16585.52,0.17,Alimentos,Efectivo,2026-01-17,"{""calle"": ""Cerrada Santo Tomé y Príncipe 896 Interior 979"", ""ciudad"": ""San Aida los bajos"", ""estado"": ""Chihuahua"", ""cp"": ""86094""}","Entrega rápida, el empaque estaba en buen estado.",Snack saludable mixto
69d05657eadd846fd99700fb,2892.6,10,23719.32,0.18,Belleza,Tarjeta de débito,2026-01-16,"{""calle"": ""Prolongación Oaxaca 780 Edif. 750 , Depto. 660"", ""ciudad"": ""San Norma los bajos"", ""estado"": ""Baja California Sur"", ""cp"": ""47043-6746""}","El producto es tal y como se describe, estoy muy satisfecho.",Shampoo sin sulfatos
69d05657eadd846fd99700fc,2537.07,18,30140.39,0.34,Juguetes,Efectivo,2026-02-17,"{""calle"": ""Diagonal Rubio 095 Interior 238"", ""ciudad"": ""Vieja Angola"", ""estado"": ""Yucatán"", ""cp"": ""30683-2875""}","Entrega rápida, el empaque estaba en buen estado.",Muñeca articulada deluxe
69d05657eadd846fd99700fd,1891.29,10,13806.42,0.27,Deportes,Tarjeta de débito,2026-04-22,"{""calle"": ""Calzada Morelos 006 Edif. 168 , Depto. 741"", ""ciudad"": ""Nueva Brasil"", ""estado"": ""Guerrero"", ""cp"": ""07949-7472""}","El producto es tal y como se describe, estoy muy satisfecho.",Colchoneta yoga antideslizante
69d05657eadd846fd99700fe,2294.29,18,33450.75,0.19,Ropa,Efectivo,2026-04-30,"{""calle"": ""Diagonal Nicaragua 166 Interior 908"", ""ciudad"": ""Vieja Chile"", ""estado"": ""Hidalgo"", ""cp"": ""24207""}","Increíble producto, superó todas mis expectativas.",Vestido casual verano
69d05657eadd846fd99700ff,2434.5,17,39731.04,0.04,Belleza,Transferencia,2026-09-16,"{""calle"": ""Continuación Colima 847 Edif. 290 , Depto. 941"", ""ciudad"": ""San Elisa los altos"", ""estado"": ""Quintana Roo"", ""cp"": ""92432""}","El producto es tal y como se describe, estoy muy satisfecho.",Crema hidratante FPS 50
69d05657eadd846fd9970100,639.71,6,2341.34,0.39,Electrónica,PayPal,2026-11-05,"{""calle"": ""Circunvalación Sur Bahena 967 409"", ""ciudad"": ""Nueva Ecuador"", ""estado"": ""Oaxaca"", ""cp"": ""65652""}","El producto es tal y como se describe, estoy muy satisfecho.",Laptop Core i7 16GB
69d05657eadd846fd9970101,651.8,18,11615.08,0.01,Juguetes,Transferencia,2026-01-14,"{""calle"": ""Diagonal Norte Casas 482 Interior 251"", ""ciudad"": ""Nueva República Checa"", ""estado"": ""Hidalgo"", ""cp"": ""61580-5634""}","Muy buena relación calidad-precio, lo recomiendo ampliamente.",Muñeca articulada deluxe
69d05657eadd846fd9970102,750.91,10,5406.55,0.28,Belleza,Tarjeta de crédito,2026-10-15,"{""calle"": ""Peatonal Sur Arroyo 839 Edif. 039 , Depto. 563"", ""ciudad"": ""San María del Carmen los bajos"", ""estado"": ""Campeche"", ""cp"": ""62608""}","Increíble producto, superó todas mis expectativas.",Shampoo sin sulfatos
69d05657eadd846fd9970103,2872.27,11,19272.93,0.39,Belleza,Tarjeta de crédito,2026-04-12,"{""calle"": ""Calzada Lira 438 614"", ""ciudad"": ""Vieja Guatemala"", ""estado"": ""Aguascalientes"", ""cp"": ""13729""}","Excelente producto, llegó antes de lo esperado y en perfectas condiciones.",Kit maquillaje profesional
69d05657eadd846fd9970104,1880.66,15,18900.63,0.33,Deportes,PayPal,2026-11-29,"{""calle"": ""Ampliación Hungría 370 040"", ""ciudad"": ""San Cristal de la Montaña"", ""estado"": ""Oaxaca"", ""cp"": ""34172""}","Producto auténtico y de calidad, envío rápido y seguro.",Mancuernas ajustables
